FIPS,insurance,cancer,UrbanIntense,NoInternet,UNEMP,singleparent,LimEnglish,Housing_T,NDVI,VacantH,asthma,X,Y
20079,15.5,6.5,0.004,0.169,0.1245,0.2537,0.631,0.3279,0.557425455,0.092,9.4,-97.42727144,38.04321848
20081,25,6.4,0,0.211,0.086,0.1936,0.9456,0.2467,0.511046032,0.209,10.4,-100.8711918,37.56225074
20083,15,6.6,0,0.199,0.1369,0.0146,0.5492,0.0576,0.410123469,0.239,9.4,-99.897936,38.08748385
20085,14.8,6.5,0.001,0.201,0.5481,0.5234,0.297,0.0987,0.651273684,0.074,9.8,-95.79366366,39.41682012
20087,14.6,6.5,0.001,0.188,0.5006,0.4126,0.0707,0.0172,0.656016071,0.088,9.7,-95.38344873,39.23576477
20089,16.6,6.6,0,0.296,0.086,0.0073,0.1477,0.0535,0.586291919,0.316,10.1,-98.21834087,39.78473208
20091,11.1,6.2,0.042,0.064,0.1369,0.3435,0.7326,0.0783,0.537121569,0.052,8.6,-94.82226104,38.88376851
20093,24.5,6.3,0,0.206,0.1822,0.3435,0.774,0.0828,0.423721111,0.193,10.4,-101.3198608,38.00019653
20095,14,6.6,0.001,0.231,0.4691,0.2216,0.1477,0.0312,0.490591209,0.198,9.4,-98.13633259,37.55888482
20097,15.6,6.6,0,0.243,0.086,0.028,0.297,0.4664,0.55074026,0.207,9.6,-99.2860476,37.55826392
20099,17.1,6.6,0.002,0.232,0.2455,0.7316,0.227,0.602,0.542744928,0.202,10.5,-95.29757614,37.19132735
20101,15.8,6.5,0,0.143,0.0646,0.0939,0.1477,0.0025,0.378903704,0.192,9.8,-100.4663984,38.48130472
20103,14.9,6.5,0.003,0.143,0.2334,0.6234,0.4187,0.3308,0.661015385,0.085,9.4,-95.03791144,39.19933452
20105,14.6,6.6,0,0.249,0.3838,0.1022,0,0.1146,0.471193506,0.318,9.6,-98.20769852,39.04532807
20107,17.1,6.5,0.001,0.344,0.5669,0.7316,0,0.2082,0.671841791,0.222,10.4,-94.84293198,38.2122719
20109,15.3,6.6,0,0.188,0.0395,0.1022,0.4187,0.0993,0.387992063,0.215,9.7,-101.1483911,38.91733655
20111,18.5,6.3,0.002,0.159,0.5344,0.6065,0.8494,0.9379,0.602804167,0.113,9.8,-96.15263975,38.45618714
20113,14.1,6.6,0.002,0.166,0.0646,0.3613,0.0707,0.2057,0.482536,0.066,9.4,-97.64807987,38.39166665
20115,14.9,6.5,0.001,0.243,0.3121,0.0433,0.0707,0.2327,0.538042105,0.201,9.8,-97.09689036,38.35887244
