"","LocationName","Data_Value"
"592200","17031160800",8.4
"592201","17031030104",10
"592237","17031160700",8.2
"592295","17031030603",8.9
"592316","17031040401",7.8
"592380","17031070600",7.7
"592393","17031020802",8.8
"592425","17031081600",7.5
"592467","17031230700",9.9
"592498","17031071300",7.9
"592512","17031241300",8.2
"592527","17031161200",8.4
"592603","17031110200",8.7
"592765","17031080201",7.9
"592794","17031230400",8.8
"592821","17031050600",7.8
"592852","17031010202",10.4
"592927","17031062500",7.8
"592932","17031210501",9.6
"593062","17031160602",8.5
"593096","17031070700",8.2
"593099","17031210100",8.4
"593101","17031031300",8.9
"593163","17031220902",8.6
"593168","17031190900",8.9
"593200","17031241400",8
"593382","17031240700",8.5
"593423","17031241200",8.2
"593443","17031080100",8.1
"593497","17031242000",8.4
"593560","17031063200",7.9
"593571","17031070400",8.4
"593578","17031190401",8.8
"593697","17031031100",8.2
"593778","17031222900",8.8
"593813","17031151001",8.9
"593831","17031252101",13.7
"593835","17031063303",7.6
"594069","17031010400",9.9
"594104","17031243000",8.3
"594262","17031243200",7.5
"594366","17031100400",8.7
"594390","17031170700",8.8
"594470","17031222200",7.5
"594498","17031242900",7.7
"594501","17031170600",8.9
"594556","17031010702",9.9
"594624","17031031800",7.8
"594636","17031040600",7.8
"594661","17031170800",9.2
"594685","17031241500",7.6
"594792","17031081403",7.5
"594799","17031170500",8.8
"594867","17031032100",8.9
"594910","17031140200",9.5
"595013","17031030300",9.2
"595015","17031040700",8.2
"595029","17031090300",8.4
"595078","17031140601",8.7
"595217","17031230600",10.6
"595254","17031150300",8.7
"595255","17031170400",9
"595341","17031250400",12.4
"595349","17031120300",7.8
"595482","17031030200",8.6
"595483","17031070102",7.7
"595499","17031230200",9.7
"595512","17031071800",8.4
"595565","17031080300",7.7
"595614","17031062400",7.6
"595628","17031140100",9.2
"595761","17031180100",9.1
"595858","17031240600",7.4
"595864","17031190402",9.2
"595893","17031240200",7.7
"595951","17031081800",7.4
"596085","17031030601",9.7
"596098","17031081401",8
"596105","17031160601",8.5
"596129","17031140800",8.1
"596147","17031160200",8.1
"596158","17031251000",12.4
"596209","17031830007",11.9
"596239","17031300700",10.1
"596245","17031720300",8.9
"596261","17031711100",12.1
"596320","17031270500",15.4
"596324","17031410900",9.2
"596400","17031380500",15.9
"596434","17031808600",8.2
"596482","17031560400",9.2
"596597","17031252102",13.2
"596623","17031803008",8.1
"596634","17031802004",8.6
"596805","17031804610",8.2
"596812","17031420400",12.3
"596814","17031320400",9.8
"596824","17031640700",9.6
"596825","17031802506",8.7
"596915","17031810502",9.2
"596918","17031560300",9.1
"596926","17031803605",8.5
"596934","17031740400",8.8
"596946","17031804000",8.8
"596970","17031801701",7.9
"596983","17031730201",12.7
"597009","17031260900",13.9
"597022","17031810501",9.1
"597071","17031630900",9.1
"597082","17031430101",13.2
"597107","17031808500",8.4
"597132","17031560200",12
"597141","17031390500",10.3
"597186","17031711200",12.4
"597187","17031560700",9.3
"597209","17031804509",8.5
"597222","17031720700",10.1
"597285","17031720400",8.5
"597309","17031252202",14.9
"597317","17031720500",8.4
"597342","17031804405",9.2
"597386","17031430800",11.4
"597400","17031700401",10.8
"597477","17031801901",8.2
"597531","17031805110",8.3
"597537","17031808400",7.8
"597543","17031460100",12.7
"597573","17031804806",8.8
"597577","17031301801",9.5
"597588","17031360200",14.9
"597674","17031809500",8.2
"597676","17031690400",14
"597688","17031680600",14.6
"597705","17031803017",8.3
"597732","17031430600",12.3
"597755","17031650200",8.9
"597769","17031660301",11.4
"597780","17031804712",8.4
"597782","17031460301",12.6
"597804","17031805201",8.2
"597808","17031580501",9.4
"597860","17031400800",14.7
"597934","17031804508",9.8
"597958","17031630100",10.2
"597979","17031804715",8.9
"598017","17031660900",13.6
"598032","17031804108",7.2
"598078","17031802608",8.6
"598081","17031806003",7.5
"598105","17031802801",8.4
"598119","17031351100",16.5
"598168","17031800300",7.8
"598176","17031801500",7.9
"598231","17031491400",13.5
"598253","17031804805",8.5
"598266","17031460700",12.7
"598306","17031620300",9.3
"598308","17031340600",17.6
"598314","17031803100",8.4
"598345","17031760802",9.2
"598350","17031530300",12.3
"598402","17031730600",12.4
"598432","17031271800",15.4
"598449","17031520200",10
"598463","17031720200",10
"598499","17031440300",11.5
"598511","17031804804",8.7
"598519","17031808001",7.7
"598566","17031804809",8.4
"598578","17031381500",14.7
"598589","17031808900",8
"598599","17031810701",10.5
"598628","17031580400",8.7
"598632","17031650100",9.5
"598635","17031807000",9.1
"598640","17031530400",12.3
"598652","17031804803",8.5
"598656","17031260500",15.1
"598682","17031804309",8.6
"598710","17031710700",12.9
"598731","17031681300",14.6
"598775","17031760801",8.5
"598872","17031803005",8.3
"598873","17031806002",8.8
"598896","17031804716",7.8
"598917","17031530200",13.6
"598974","17031671200",15.2
"598984","17031320100",7.5
"598986","17031803611",8.8
"598993","17031490901",13.2
"598999","17031400500",14.1
"599007","17031720600",8.7
"599053","17031271400",13.9
"599135","17031650400",9.1
"599139","17031301702",9.3
"599148","17031660700",13.2
"599162","17031670600",13
"599213","17031804706",8.5
"599239","17031292400",14.1
"599254","17031490902",11.9
"599283","17031801603",8.3
"599288","17031283200",9.2
"599303","17031390300",13.2
"599321","17031740100",8.8
"599345","17031806300",8.9
"599357","17031440900",13.2
"599373","17031310300",8.7
"599415","17031520100",9.5
"599443","17031805901",8.4
"599449","17031740200",9.2
"599551","17031670400",13.6
"599610","17031260100",14.4
"599656","17031803701",8.6
"599666","17031806202",8.4
"599718","17031802100",8.2
"599760","17031802607",8.5
"599789","17031260800",14.4
"599795","17031470100",12.6
"599840","17031530600",13.4
"599849","17031804404",9
"599897","17031660800",12
"599904","17031460200",12.1
"599926","17031806801",8.4
"599941","17031411000",8.9
"599945","17031670800",14.3
"600012","17031520300",9.3
"600119","17031490600",12.3
"600131","17031580700",9.3
"600171","17031805302",8
"600183","17031640400",9.1
"600192","17031420200",12.2
"600203","17031691000",11.8
"600227","17031805202",8
"600238","17031804711",8.3
"600239","17031803012",8.5
"600242","17031680500",14.3
"600293","17031806001",8.1
"600333","17031530501",12.2
"600336","17031805402",8.9
"600395","17031600700",8.4
"600457","17031770400",8.8
"600486","17031805701",8.4
"600502","17031810200",10.1
"600519","17031802200",8.1
"600547","17031803603",7.9
"600554","17031804603",7.7
"600596","17031340300",8.1
"600613","17031804106",7.9
"600616","17031803606",9.3
"600635","17031390200",10.4
"600663","17031340400",7.8
